Beg_Yr_Date,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES
1/1/2017,KY,Kentucky,21,895963,637614,258349
1/1/2018,KY,Kentucky,21,912477,631752,280725
1/1/2019,KY,Kentucky,21,928872,612687,316185
1/1/2020,KY,Kentucky,21,943242,578907,364335
1/1/2021,KY,Kentucky,21,952197,536961,415236
1/1/2022,KY,Kentucky,21,961273,499099,462174
1/1/2013,LA,Louisiana,22,747451,548638,198813
1/1/2014,LA,Louisiana,22,768515,549673,218842
1/1/2015,LA,Louisiana,22,788780,550225,238555
1/1/2016,LA,Louisiana,22,809714,554588,255126
1/1/2017,LA,Louisiana,22,828719,551527,277191
1/1/2018,LA,Louisiana,22,848975,547567,301408
1/1/2019,LA,Louisiana,22,869795,534480,335316
1/1/2020,LA,Louisiana,22,884245,512975,371271
1/1/2021,LA,Louisiana,22,893631,473575,420056
1/1/2022,LA,Louisiana,22,905879,448926,456953
1/1/2013,MA,Massachusetts,25,1158001,943576,214426
1/1/2014,MA,Massachusetts,25,1188827,949715,239112
1/1/2015,MA,Massachusetts,25,1216836,963737,253099
1/1/2016,MA,Massachusetts,25,1245919,981747,264172
1/1/2017,MA,Massachusetts,25,1275550,984994,290556
1/1/2018,MA,Massachusetts,25,1304654,993272,311382
1/1/2019,MA,Massachusetts,25,1331279,997248,334031
1/1/2020,MA,Massachusetts,25,1352786,989454,363333
1/1/2021,MA,Massachusetts,25,1374243,973092,401151
1/1/2022,MA,Massachusetts,25,1398455,959727,438727
1/1/2013,MD,Maryland,24,876407,800442,75965
1/1/2014,MD,Maryland,24,904913,825523,79390
1/1/2015,MD,Maryland,24,930548,850188,80360
1/1/2016,MD,Maryland,24,957992,864190,93802
1/1/2017,MD,Maryland,24,984017,872710,111306
1/1/2018,MD,Maryland,24,1011531,887969,123562
1/1/2019,MD,Maryland,24,1036953,909418,127535
1/1/2020,MD,Maryland,24,1058229,920102,138127
1/1/2021,MD,Maryland,24,1075070,898929,176141
1/1/2022,MD,Maryland,24,1096320,887611,208708
1/1/2013,ME,Maine,23,291099,238803,52296
1/1/2014,ME,Maine,23,299623,238627,60996
1/1/2015,ME,Maine,23,306642,236917,69725
1/1/2016,ME,Maine,23,314300,235681,78619
1/1/2017,ME,Maine,23,322151,231144,91006
1/1/2018,ME,Maine,23,331222,226452,104770
1/1/2019,ME,Maine,23,339400,217064,122336
1/1/2020,ME,Maine,23,347594,202663,144931
1/1/2021,ME,Maine,23,356229,187420,168810
1/1/2022,ME,Maine,23,363478,175262,188215
1/1/2013,MI,Michigan,26,1805997,1311409,494588
1/1/2014,MI,Michigan,26,1853206,1290036,563171
1/1/2015,MI,Michigan,26,1894914,1271982,622931
1/1/2016,MI,Michigan,26,1938308,1270636,667672
1/1/2017,MI,Michigan,26,1981476,1260713,720763
1/1/2018,MI,Michigan,26,2024434,1214457,809977
1/1/2019,MI,Michigan,26,2064901,1198786,866115
1/1/2020,MI,Michigan,26,2100420,1096687,1003733
1/1/2021,MI,Michigan,26,2130074,1024125,1105949
1/1/2022,MI,Michigan,26,2162350,960878,1201472
1/1/2013,MN,Minnesota,27,863414,435527,427887
1/1/2014,MN,Minnesota,27,888702,429173,459529
1/1/2015,MN,Minnesota,27,913586,422860,490726
1/1/2016,MN,Minnesota,27,940548,418501,522046
1/1/2017,MN,Minnesota,27,967270,412908,554362
1/1/2018,MN,Minnesota,27,996224,418248,577976
1/1/2019,MN,Minnesota,27,1021819,555372,466447
1/1/2020,MN,Minnesota,27,1046400,539965,506435
1/1/2021,MN,Minnesota,27,1068551,509904,558648
1/1/2022,MN,Minnesota,27,1092890,490875,602015
1/1/2013,MO,Missouri,29,1086505,817724,268781
1/1/2014,MO,Missouri,29,1112893,818859,294034
1/1/2015,MO,Missouri,29,1136070,815014,321056
1/1/2016,MO,Missouri,29,1160093,812974,347119
1/1/2017,MO,Missouri,29,1182965,804778,378188
1/1/2018,MO,Missouri,29,1204788,796103,408685
1/1/2019,MO,Missouri,29,1227462,771005,456457
1/1/2020,MO,Missouri,29,1248427,748330,500097
1/1/2021,MO,Missouri,29,1263819,707230,556589
1/1/2022,MO,Missouri,29,1283071,673319,609752
